series,first_issue,last_issue,total_found,gap_count,missing,unnumbered,path
Ripe Peach Young Grape,1,8,8,0,,0,\\tower\media\comics\Comix\Ripe Peach Young Grape
Rose In The Hood,1,3,3,0,,0,\\tower\media\comics\Comix\Rose In The Hood
S Player Uncensored,1,14,14,0,,14,\\tower\media\comics\Comix\S Player Uncensored
Saimin Netorare Duma Haruka,1,8,8,0,,1,\\tower\media\comics\Comix\Saimin Netorare Duma Haruka
"School girls are not sluts,OK",1,4,4,0,,0,"\\tower\media\comics\Comix\School girls are not sluts,OK"
School in the Spring of Youth! Omnibus,1,2,2,0,,1,\\tower\media\comics\Comix\School in the Spring of Youth! Omnibus
Screwed by Father-in-Law - All About Yui,1,3,3,0,,0,\\tower\media\comics\Comix\Screwed by Father-in-Law - All About Yui
Seasonal Booty,1,2,2,0,,1,\\tower\media\comics\Comix\Seasonal Booty
Secret Class Uncensored,1,155,155,0,,1,\\tower\media\comics\Comix\Secret Class Uncensored
Secret Plot De,1,7,7,0,,1,\\tower\media\comics\Comix\Secret Plot De
Serial Killer Isekai ni Oritatsu,1,28,28,0,,0,\\tower\media\comics\Comix\Serial Killer Isekai ni Oritatsu
Serum 42XXL,1,9,9,0,,1,\\tower\media\comics\Comix\Serum 42XXL
Sexual Corrections Officer Rebellious School Girl Rehab!,1,3,3,0,,0,\\tower\media\comics\Comix\Sexual Corrections Officer Rebellious School Girl Rehab!
Sexual Season,1,2,2,0,,0,\\tower\media\comics\Comix\Sexual Season
Shattered Ties - Uncensored,1,12,12,0,,0,\\tower\media\comics\Comix\Shattered Ties - Uncensored
She Teaches Me a Lot,1,29,29,0,,0,\\tower\media\comics\Comix\She Teaches Me a Lot
"She's My Oneechan, but She's Just Pampering Me a Bit, so It's Okay",1,2,2,0,,0,"\\tower\media\comics\Comix\She's My Oneechan, but She's Just Pampering Me a Bit, so It's Okay"
She’s a Married Woman,1,4,4,0,,0,\\tower\media\comics\Comix\She’s a Married Woman
Shikeishuu ~Ijou Hanzaisha no Matsuro~,1,16,16,0,,0,\\tower\media\comics\Comix\Shikeishuu ~Ijou Hanzaisha no Matsuro~
Sister Sacrificing,1,2,2,0,,0,\\tower\media\comics\Comix\Sister Sacrificing
Sketches,1,2,2,0,,0,\\tower\media\comics\Comix\Sketches
Slave Wife Expansion,1,2,2,0,,0,\\tower\media\comics\Comix\Slave Wife Expansion
Slut Girl,1,6,6,0,,1,\\tower\media\comics\Comix\Slut Girl
Snowed In,1,2,2,0,,1,\\tower\media\comics\Comix\Snowed In
Soirée at the Love Hotel,1,2,2,0,,0,\\tower\media\comics\Comix\Soirée at the Love Hotel
Someone Stop Her,1,17,17,0,,0,\\tower\media\comics\Comix\Someone Stop Her
Someone Stop Her! - Uncensored,0,43,44,0,,0,\\tower\media\comics\Comix\Someone Stop Her! - Uncensored
Sorrows of Alicia,1,10,10,0,,1,\\tower\media\comics\Comix\Sorrows of Alicia
Spades,1,2,2,0,,1,\\tower\media\comics\Comix\Spades
Spunky Knight XXX 7,1,7,7,0,,0,\\tower\media\comics\Comix\Spunky Knight XXX 7
Spy games,1,6,6,0,,1,\\tower\media\comics\Comix\Spy games
Spying on naked mom,1,2,2,0,,0,\\tower\media\comics\Comix\Spying on naked mom
Squeeze Until Empty,1,2,2,0,,1,\\tower\media\comics\Comix\Squeeze Until Empty
Stay With Me,1,2,2,0,,0,\\tower\media\comics\Comix\Stay With Me
Stealing Sakura Away,1,2,2,0,,0,\\tower\media\comics\Comix\Stealing Sakura Away
Step Taboo – NSFW Voice Logs,1,15,15,0,,0,\\tower\media\comics\Comix\Step Taboo – NSFW Voice Logs
Stepmom Comes First,1,11,11,0,,0,\\tower\media\comics\Comix\Stepmom Comes First
Story Of My Mother,1,3,3,0,,0,\\tower\media\comics\Comix\Story Of My Mother
Stranded on a Desert Island Where I Can Creampie All the Girls I Want ~Making My Female Classmates Into My Harem~,1,23,23,0,,0,\\tower\media\comics\Comix\Stranded on a Desert Island Where I Can Creampie All the Girls I Want ~Making My Female Classmates Into My Harem~
Strictly Horny Business,1,2,2,0,,0,\\tower\media\comics\Comix\Strictly Horny Business
Stupidemic,1,37,37,0,,0,\\tower\media\comics\Comix\Stupidemic
Succubus Senpai,1,2,2,0,,0,\\tower\media\comics\Comix\Succubus Senpai
Sugar Daddy,1,2,2,0,,2,\\tower\media\comics\Comix\Sugar Daddy
Suika San,1,2,2,0,,1,\\tower\media\comics\Comix\Suika San
Summer Friends and Summer Flings,1,5,5,0,,1,\\tower\media\comics\Comix\Summer Friends and Summer Flings
Sunstone Book,1,2,2,0,,0,\\tower\media\comics\Comix\Sunstone Book
Super Streaming! Turning My Stepmom into My Cumdump!,1,9,9,0,,0,\\tower\media\comics\Comix\Super Streaming! Turning My Stepmom into My Cumdump!
Sweet Fragrance,1,2,2,0,,1,\\tower\media\comics\Comix\Sweet Fragrance
Swinging Island,1,2,2,0,,0,\\tower\media\comics\Comix\Swinging Island
Swinging Story,1,3,3,0,,0,\\tower\media\comics\Comix\Swinging Story
Switch ON,1,21,21,0,,0,\\tower\media\comics\Comix\Switch ON
Sword Art Hentai,1,4,4,0,,0,\\tower\media\comics\Comix\Sword Art Hentai
Taken and Stolen,1,2,2,0,,1,\\tower\media\comics\Comix\Taken and Stolen
Taking a Hot Tanned Chick's Virginity,1,4,4,0,,1,\\tower\media\comics\Comix\Taking a Hot Tanned Chick's Virginity
Tales of Two Turnbulls,1,2,2,0,,0,\\tower\media\comics\Comix\Tales of Two Turnbulls
Tasty Missus x4,1,12,12,0,,0,\\tower\media\comics\Comix\Tasty Missus x4
Teach Me First!,0,20,21,0,,0,\\tower\media\comics\Comix\Teach Me First!
Teach Me First! - Uncensored,0,20,21,0,,0,\\tower\media\comics\Comix\Teach Me First! - Uncensored
Teacher Teacher Anthology,1,5,5,0,,1,\\tower\media\comics\Comix\Teacher Teacher Anthology
Tearing Down Her Walls,1,6,6,0,,0,\\tower\media\comics\Comix\Tearing Down Her Walls
That Time I Creampied Everybody And Turned The Whole School Into My Harem,1,23,23,0,,0,\\tower\media\comics\Comix\That Time I Creampied Everybody And Turned The Whole School Into My Harem
That Won't Fit...! All Night Sex with the Biggest Cock,1,5,5,0,,0,\\tower\media\comics\Comix\That Won't Fit...! All Night Sex with the Biggest Cock
The Adventurer's Log Has Been Fully Recovered,1,2,2,0,,0,\\tower\media\comics\Comix\The Adventurer's Log Has Been Fully Recovered
The Anal Queens,1,4,4,0,,0,\\tower\media\comics\Comix\The Anal Queens
The Art of Iyapan,1,4,4,0,,3,\\tower\media\comics\Comix\The Art of Iyapan
The Asschucks Incest Porn Comic,1,2,2,0,,0,\\tower\media\comics\Comix\The Asschucks Incest Porn Comic
The Assistant,1,15,15,0,,0,\\tower\media\comics\Comix\The Assistant
The Assistant Uncensored,1,30,30,0,,1,\\tower\media\comics\Comix\The Assistant Uncensored
The Aunt I've Always Loved,1,2,2,0,,0,\\tower\media\comics\Comix\The Aunt I've Always Loved
